iter	Passed	Remaining
269	645	1745
270	647	1740
271	648	1735
272	650	1731
273	651	1726
274	653	1721
275	654	1717
276	656	1712
277	657	1708
278	661	1710
279	663	1706
280	665	1703
281	667	1700
282	669	1695
283	670	1691
284	672	1688
285	674	1683
286	675	1679
287	677	1674
288	678	1670
289	680	1665
290	681	1660
291	685	1662
292	687	1657
293	688	1653
294	691	1653
295	693	1649
296	694	1644
297	696	1640
298	697	1636
299	699	1631
300	700	1627
301	702	1623
302	704	1619
303	709	1623
304	710	1619
305	712	1615
306	713	1611
307	715	1607
308	716	1603
309	718	1599
310	719	1595
311	721	1591
312	723	1587
313	724	1583
314	726	1579
315	727	1575
316	730	1574
317	732	1570
318	733	1566
319	735	1562
320	736	1558
321	738	1555
322	740	1551
323	741	1547
324	743	1543
325	744	1540
326	746	1536
327	748	1533
328	750	1529
329	754	1531
330	756	1529
331	759	1527
332	761	1525
333	763	1521
334	764	1518
335	766	1514
336	767	1510
337	769	1506
338	770	1502
339	772	1499
340	776	1500
341	777	1496
342	779	1492
343	780	1489
344	782	1485
345	785	1484
346	787	1481
347	788	1477
348	790	1473
349	791	1469
350	792	1465
351	794	1462
352	796	1459
353	798	1457
354	800	1454
355	802	1450
356	805	1450
357	807	1447
358	808	1443
359	810	1440
360	811	1437
361	813	1433
362	814	1430
363	816	1426
364	817	1422
365	819	1420
366	822	1418
367	823	1414
368	825	1411
369	826	1407
370	828	1404
371	830	1401
372	831	1397
373	833	1394
374	834	1391
375	836	1387
376	837	1384
377	839	1380
378	843	1382
379	845	1380
380	848	1377
381	850	1375
382	852	1374
383	854	1370
384	856	1368
385	857	1364
386	859	1361
387	861	1358
388	862	1354
389	864	1352
390	866	1349
391	868	1346
392	869	1343
393	871	1340
394	872	1336
395	874	1333
396	875	1330
397	878	1328
398	880	1325
399	881	1322
400	883	1319
401	884	1316
402	888	1316
403	889	1312
404	891	1309
405	893	1306
406	894	1303
407	896	1301
408	898	1298
409	900	1295
410	901	1292
411	903	1289
412	904	1285
413	906	1282
414	907	1279
415	910	1278
416	912	1275
417	914	1272
418	915	1269
419	916	1266
420	918	1263
421	920	1260
422	921	1257
423	923	1254
424	924	1251
425	926	1248
426	927	1245
427	929	1242
428	932	1241
429	934	1239
430	936	1236
431	937	1233
432	939	1230
433	941	1227
434	942	1224
435	944	1221
436	945	1218
437	947	1215
438	948	1212
439	950	1209
440	952	1206
441	955	1206
442	957	1204
443	959	1202
444	961	1199
445	965	1199
446	967	1197
447	969	1194
448	971	1191
449	972	1188
450	974	1186
451	978	1185
452	980	1183
453	981	1180
454	983	1177
